mode,run_id,total_genomes,execution_duration_s,genomes_per_s
sequential,20260406_0115,1020,42388.42,0.02406317574469631
sequential,20260407_0142,1009,46005.64,0.021932093543313387
sequential,20260407_1428,1004,41818.56,0.024008478532020233
sequential,20260408_0206,1003,45947.43,0.021829294913774284
sequential,20260409_0354,1002,47577.89,0.021060202543660513
sequential,20260409_1707,1027,45991.78,0.02233007724423799
sequential,20260410_1929,1005,42091.92,0.02387631640466864
parallel_2w,20260407_0817,1017,25233.79,0.04030310151586424
parallel_2w,20260407_1721,1027,32289.13,0.031806369511968885
parallel_2w,20260409_0120,1005,24112.31,0.04167995517642233
parallel_2w,20260410_1709,1003,25034.73,0.04006434261523891
parallel_2w,20260411_0006,1008,24582.95,0.041004029215370816
parallel_2w,20260411_2027,1014,25056.4,0.04046870260691879
parallel_2w,20260412_1345,1015,25363.85,0.04001758408128104
parallel_4w,20260414_1739,1011,15614.44,0.0647477591255274
parallel_4w,20260414_2200,1019,13796.45,0.0738595798194463
parallel_4w,20260415_0150,1013,15280.72,0.06629268777910989
parallel_4w,20260415_0605,1014,14234.4,0.0712358792783679
parallel_4w,20260415_1002,1029,13654.34,0.0753606545611139
parallel_4w,20260415_1350,1023,14270.09,0.0716884056092148
parallel_4w,20260415_1749,1023,15168.85,0.06744084093388754
